dataset,arch,run,seed,test_loss,test_acc,attack_auc,attack_ap,attack_f1
molhiv,gcn,5,305262,0.6566721200942993,0.8135593220338984,0.71,0.739721797810033,0.7499999999995138
molhiv,gcn,6,305263,0.5133711695671082,0.8135593220338984,0.76,0.8045683401565754,0.7407407407402743
molhiv,gcn,7,305264,0.5948755741119385,0.8050847457627118,0.68,0.7110714285714285,0.7692307692302958
molhiv,gcn,8,305265,0.7511204481124878,0.8135593220338984,0.75,0.7433974358974358,0.79999999999952
molhiv,gcn,9,305266,0.7230527997016907,0.8135593220338984,0.65,0.6985900210900211,0.7692307692302958
molhiv,gat,0,66616,0.587742805480957,0.8135593220338984,0.655,0.6995867071524966,0.695652173912552
molhiv,gat,1,66617,0.5556298494338989,0.8135593220338984,0.585,0.6367812253106371,0.7142857142852551
molhiv,gat,2,66618,0.6446452736854553,0.8135593220338984,0.665,0.7171761520213532,0.695652173912552
molhiv,gat,3,66619,0.6259583234786987,0.8135593220338984,0.765,0.7767857142857142,0.79999999999952
molhiv,gat,4,66620,0.5297372937202454,0.8135593220338984,0.73,0.756612554112554,0.7692307692302958
molhiv,gat,5,66621,0.5680846571922302,0.8135593220338984,0.665,0.7265809139261151,0.695652173912552
molhiv,gat,6,66622,0.5724375247955322,0.8135593220338984,0.745,0.7823316879199231,0.7407407407402743
molhiv,gat,7,66623,0.5599408745765686,0.8135593220338984,0.735,0.8089060887512899,0.7272727272722312
molhiv,gat,8,66624,0.6919897794723511,0.8050847457627118,0.715,0.7723897374555269,0.695652173912552
molhiv,gat,9,66625,0.5766578912734985,0.8135593220338984,0.74,0.7604901960784313,0.7407407407402743
molhiv,graphsage,0,601226,0.6289733648300171,0.8135593220338984,0.76,0.8177199627857523,0.761904761904263
molhiv,graphsage,1,601227,0.5006726384162903,0.8135593220338984,0.7400000000000001,0.7972454373112268,0.7368421052626591
molhiv,graphsage,2,601228,0.932628870010376,0.8135593220338984,0.65,0.6801984126984126,0.7692307692302958
molhiv,graphsage,3,601229,0.9238921403884888,0.8135593220338984,0.75,0.7742224442224441,0.79999999999952
molhiv,graphsage,4,601230,0.6101170182228088,0.8135593220338984,0.7,0.7450106837606837,0.7142857142852551
molhiv,graphsage,5,601231,1.576610803604126,0.8135593220338984,0.6449999999999999,0.7398110661268555,0.6896551724133413
molhiv,graphsage,6,601232,1.6244233846664429,0.8135593220338984,0.63,0.6631318681318681,0.7692307692302958
molhiv,graphsage,7,601233,1.2166757583618164,0.8135593220338984,0.6900000000000001,0.725123895712131,0.7407407407402743
molhiv,graphsage,8,601234,0.6043892502784729,0.8135593220338984,0.73,0.7716827616827617,0.79999999999952
molhiv,graphsage,9,601235,0.7784897089004517,0.8135593220338984,0.7100000000000001,0.7608598264480617,0.7499999999995138
