dataset,arch,run,seed,test_loss,test_acc,attack_auc,attack_ap,attack_f1
proteins,gcn,0,584132,0.49827203154563904,0.8248175182481752,0.5055401662049862,0.5397911103843391,0.6666666666662222
proteins,gcn,1,584133,0.6573461294174194,0.7262773722627737,0.5609418282548477,0.5390256907952008,0.7058823529407089
proteins,gcn,2,584134,0.493664026260376,0.8248175182481752,0.5110803324099722,0.48993717000009906,0.7307692307687671
proteins,gcn,3,584135,0.6088440418243408,0.8248175182481752,0.4944598337950139,0.49285170019715113,0.7169811320750117
proteins,gcn,4,584136,0.6248298287391663,0.8248175182481752,0.5540166204986149,0.5291447573895844,0.7058823529407089
proteins,gcn,5,584137,0.6431925296783447,0.8248175182481752,0.46398891966759,0.4825677699997119,0.6666666666662222
proteins,gcn,6,584138,0.6374691724777222,0.8248175182481752,0.48614958448753465,0.5085761544455243,0.6666666666662222
proteins,gcn,7,584139,0.6253552436828613,0.8211678832116789,0.5470914127423823,0.5271715151758705,0.6799999999995286
proteins,gcn,8,584140,0.6163467764854431,0.8248175182481752,0.42797783933518,0.46796508689840455,0.6666666666662222
proteins,gcn,9,584141,0.5354101657867432,0.8248175182481752,0.5346260387811634,0.5375346792782425,0.679245283018408
proteins,gat,0,516491,0.5349336266517639,0.8248175182481752,0.5415512465373961,0.5267353513222742,0.7037037037032475
proteins,gat,1,516492,0.5341167449951172,0.8248175182481752,0.5650969529085872,0.5382672024292523,0.7307692307687671
proteins,gat,2,516493,0.5466713905334473,0.8248175182481752,0.5207756232686981,0.5024832287090555,0.7037037037032475
proteins,gat,3,516494,0.5426182150840759,0.8248175182481752,0.4542936288088643,0.4994449164707434,0.6666666666662222
proteins,gat,4,516495,0.543872594833374,0.8248175182481752,0.554016620498615,0.5214040817936896,0.7058823529407089
proteins,gat,5,516496,0.5028999447822571,0.8248175182481752,0.43213296398891965,0.49485380963200276,0.6666666666662222
proteins,gat,6,516497,0.5500995516777039,0.8248175182481752,0.5720221606648199,0.5371285235382018,0.7169811320750117
proteins,gat,7,516498,0.5184417963027954,0.8248175182481752,0.4501385041551247,0.4663296692868594,0.6666666666662222
proteins,gat,8,516499,0.5782181024551392,0.8248175182481752,0.5900277008310248,0.5554422354296162,0.7169811320750117
