,,,,test_acc,test_acc,attack_auc,attack_auc,attack_ap,attack_ap,attack_f1,attack_f1
,,,,mean,std,mean,std,mean,std,mean,std
dataset,arch,defense,defense_sigma,,,,,,,,
molhiv,gat,logit_noise,2.0,0.8135593220338982,0.0,0.3472222222222222,0.15340779190537862,0.4914892977392977,0.10667804070594035,0.6714285714281225,0.015058465048406501
molhiv,gcn,logit_noise,2.0,0.8122881355932204,0.004019844483264917,0.5319444444444444,0.10598717796509219,0.5987566137566137,0.09473327385451306,0.6983516483511891,0.04299415603185518
molhiv,graphsage,logit_noise,2.0,0.8135593220338982,0.0,0.4736111111111111,0.13942027974183738,0.5498118085618086,0.11702332926641257,0.695588235293664,0.05567317422387876
mutag,gat,logit_noise,2.0,0.6488095238095238,0.0,0.5236111111111111,0.1965330944183348,0.610079365079365,0.13474401631023508,0.6829836829832281,0.03579267383457407
mutag,gcn,logit_noise,2.0,0.6529761904761905,0.008895441179150745,0.5027777777777779,0.15751630220245016,0.5899338624338625,0.12221616900575652,0.679999999999552,0.042163702135567145
mutag,graphsage,logit_noise,2.0,0.6773809523809524,0.023442945218637982,0.4930555555555555,0.12598208170544237,0.6154166666666667,0.08549272685034248,0.6666666666662222,0.0
proteins,gat,logit_noise,2.0,0.8248175182481752,0.0,0.5521541950113379,0.1052747528205307,0.569688810286819,0.09783804768920158,0.6770707070702519,0.02798484195256404
proteins,gcn,logit_noise,2.0,0.6222627737226277,0.24043466429623153,0.5213151927437641,0.05743226969877126,0.5459447546521436,0.035168365330864766,0.6666666666662222,0.0
proteins,graphsage,logit_noise,2.0,0.7167883211678833,0.1615872220180125,0.4825396825396825,0.07472526024835692,0.538136675789268,0.05066105282743725,0.6666666666662222,0.0
