dataset,arch,run,seed,defense,defense_sigma,test_loss,test_acc,attack_auc,attack_ap,attack_f1
mutag,graphsage,8,218764,logit_noise,0.5,0.6139523983001709,0.6488095238095238,0.19444444444444442,0.42083333333333334,0.6666666666662222
mutag,graphsage,9,218765,logit_noise,0.5,0.6010245680809021,0.6845238095238095,0.6944444444444445,0.7162698412698413,0.7692307692302721
molhiv,gcn,0,600066,logit_noise,0.5,0.540564239025116,0.8135593220338984,0.48,0.5053666216824112,0.6896551724133413
molhiv,gcn,1,600067,logit_noise,0.5,0.5820477604866028,0.8135593220338984,0.5,0.5526116938616938,0.695652173912552
molhiv,gcn,2,600068,logit_noise,0.5,0.573157012462616,0.8050847457627118,0.54,0.5696983490365843,0.7407407407402743
molhiv,gcn,3,600069,logit_noise,0.5,0.5447490215301514,0.8050847457627118,0.35,0.5038463853827632,0.6896551724133413
molhiv,gcn,4,600070,logit_noise,0.5,0.5715122818946838,0.8135593220338984,0.44999999999999996,0.5169914369256474,0.6666666666662222
molhiv,gcn,5,600071,logit_noise,0.5,0.5395848155021667,0.8135593220338984,0.43,0.54109391124871,0.6666666666662222
molhiv,gcn,6,600072,logit_noise,0.5,0.9324347972869873,0.8135593220338984,0.47,0.4844857430151548,0.6666666666662222
molhiv,gcn,7,600073,logit_noise,0.5,0.546565592288971,0.8135593220338984,0.72,0.7807249694749694,0.7142857142852551
molhiv,gcn,8,600074,logit_noise,0.5,0.5412220358848572,0.8050847457627118,0.41000000000000003,0.45798391151332335,0.7142857142852551
molhiv,gcn,9,600075,logit_noise,0.5,0.710150957107544,0.8135593220338984,0.5299999999999999,0.5965445665445664,0.6666666666662222
molhiv,gat,0,428322,logit_noise,0.5,0.6013239026069641,0.8135593220338984,0.71,0.7479987118145012,0.7826086956516823
molhiv,gat,1,428323,logit_noise,0.5,0.5993542075157166,0.8135593220338984,0.65,0.6184089521589522,0.7142857142852551
molhiv,gat,2,428324,logit_noise,0.5,0.5882644653320312,0.8135593220338984,0.71,0.6598512598512599,0.7826086956516823
molhiv,gat,3,428325,logit_noise,0.5,0.5482388734817505,0.8135593220338984,0.72,0.7266119909502262,0.7407407407402743
molhiv,gat,4,428326,logit_noise,0.5,0.5498886704444885,0.8135593220338984,0.83,0.8324342324342323,0.8333333333328471
molhiv,gat,5,428327,logit_noise,0.5,0.6269647479057312,0.8135593220338984,0.64,0.6609251859251859,0.79999999999952
