dataset,arch,run,seed,defense,defense_sigma,test_loss,test_acc,attack_auc,attack_ap,attack_f1
mutag,gcn,0,832875,logit_noise,1.0,0.6420455574989319,0.6488095238095238,0.5,0.6709956709956709,0.6666666666662222
mutag,gcn,1,832876,logit_noise,1.0,0.6042412519454956,0.6607142857142857,0.8333333333333335,0.8555555555555556,0.8333333333328333
mutag,gcn,2,832877,logit_noise,1.0,0.6062661409378052,0.6607142857142857,0.22222222222222224,0.4222222222222223,0.6666666666662222
mutag,gcn,3,832878,logit_noise,1.0,0.643643319606781,0.6488095238095238,0.5694444444444444,0.6833333333333332,0.6666666666662222
mutag,gcn,4,832879,logit_noise,1.0,0.6001531481742859,0.6726190476190477,0.22222222222222215,0.40641534391534395,0.6666666666662222
mutag,gcn,5,832880,logit_noise,1.0,0.6333946585655212,0.6488095238095238,0.5694444444444445,0.560515873015873,0.7142857142852245
mutag,gcn,6,832881,logit_noise,1.0,0.6071926355361938,0.6488095238095238,0.34722222222222227,0.5,0.6666666666662222
mutag,gcn,7,832882,logit_noise,1.0,0.6096283793449402,0.6488095238095238,0.38888888888888895,0.4722222222222222,0.6666666666662222
mutag,gcn,8,832883,logit_noise,1.0,0.641977846622467,0.6488095238095238,0.11111111111111108,0.4087301587301588,0.6666666666662222
mutag,gcn,9,832884,logit_noise,1.0,0.6009842753410339,0.6607142857142857,0.4305555555555556,0.4722222222222222,0.6666666666662222
mutag,gat,0,395050,logit_noise,1.0,0.62419593334198,0.6488095238095238,0.6666666666666667,0.6347222222222223,0.7499999999995312
mutag,gat,1,395051,logit_noise,1.0,0.6150807738304138,0.6488095238095238,0.6666666666666667,0.7410714285714285,0.7142857142852245
mutag,gat,2,395052,logit_noise,1.0,0.6200474500656128,0.6488095238095238,0.5416666666666666,0.6833333333333332,0.6666666666662222
mutag,gat,3,395053,logit_noise,1.0,0.6166852116584778,0.6488095238095238,0.7777777777777779,0.7027777777777777,0.8333333333328333
mutag,gat,4,395054,logit_noise,1.0,0.637410044670105,0.6488095238095238,0.5416666666666667,0.6759259259259259,0.6666666666662222
mutag,gat,5,395055,logit_noise,1.0,0.625289261341095,0.6488095238095238,0.8055555555555556,0.8708333333333333,0.79999999999952
mutag,gat,6,395056,logit_noise,1.0,0.6398897171020508,0.6488095238095238,0.5277777777777778,0.5396825396825397,0.6666666666662222
mutag,gat,7,395057,logit_noise,1.0,0.6107173562049866,0.6488095238095238,0.6388888888888888,0.7279461279461279,0.7058823529407197
mutag,gat,8,395058,logit_noise,1.0,0.6282029747962952,0.6488095238095238,0.6388888888888888,0.7453703703703703,0.6666666666662222
